指标,年份,产量
集成电路产量(万块),2022,32419000
集成电路产量(万块),2021,35943500
集成电路产量(万块),2020,26142300
集成电路产量(万块),2019,20182200
集成电路产量(万块),2018,18526000
集成电路产量(万块),2017,15645800
集成电路产量(万块),2016,13179500
集成电路产量(万块),2015,10872000
集成电路产量(万块),2014,10155300
集成电路产量(万块),2013,9034600
集成电路产量(万块),2012,7796100
集成电路产量(万块),2011,7195200
集成电路产量(万块),2010,6525000
集成电路产量(万块),2009,4144000
集成电路产量(万块),2008,4387700
集成电路产量(万块),2007,4116200
集成电路产量(万块),2006,3357499
集成电路产量(万块),2005,2699729.14
集成电路产量(万块),2004,2355100
集成电路产量(万块),2003,1483100.93
集成电路产量(万块),2002,963101.08
集成电路产量(万块),2001,636287.7
集成电路产量(万块),2000,588000
集成电路产量(万块),1999,415000
集成电路产量(万块),1998,262577
镀层板产量(万吨),2022,
镀层板产量(万吨),2021,6588.74
镀层板产量(万吨),2020,6138.42
镀层板产量(万吨),2019,5738.87
镀层板产量(万吨),2018,5213.64
镀层板产量(万吨),2017,5262.99
镀层板产量(万吨),2016,5322.61
镀层板产量(万吨),2015,4798.24
镀层板产量(万吨),2014,5074.9
镀层板产量(万吨),2013,4514.46
镀层板产量(万吨),2012,3776.14
镀层板产量(万吨),2011,3176.78
镀层板产量(万吨),2010,2849.22
镀层板产量(万吨),2009,2016.7
镀层板产量(万吨),2008,1967.39
镀层板产量(万吨),2007,1755.44
镀层板产量(万吨),2006,1374.61
镀层板产量(万吨),2005,877.88
镀层板产量(万吨),2004,765.2
镀层板产量(万吨),2003,
镀层板产量(万吨),2002,
镀层板产量(万吨),2001,
镀层板产量(万吨),2000,
镀层板产量(万吨),1999,
镀层板产量(万吨),1998,
铁路货车产量(辆),2022,
铁路货车产量(辆),2021,39800
铁路货车产量(辆),2020,41200
铁路货车产量(辆),2019,60330
铁路货车产量(辆),2018,50539
铁路货车产量(辆),2017,51847
铁路货车产量(辆),2016,24590
铁路货车产量(辆),2015,27264
铁路货车产量(辆),2014,34416
铁路货车产量(辆),2013,51921
铁路货车产量(辆),2012,59227
铁路货车产量(辆),2011,66928
铁路货车产量(辆),2010,48136
铁路货车产量(辆),2009,42774
铁路货车产量(辆),2008,57375
铁路货车产量(辆),2007,42189
铁路货车产量(辆),2006,39251
铁路货车产量(辆),2005,39163
铁路货车产量(辆),2004,31715
铁路货车产量(辆),2003,31209
铁路货车产量(辆),2002,31265
铁路货车产量(辆),2001,30662
铁路货车产量(辆),2000,27285
铁路货车产量(辆),1999,18594
铁路货车产量(辆),1998,23500
铁路客车产量(辆),2022,
铁路客车产量(辆),2021,936
铁路客车产量(辆),2020,538
铁路客车产量(辆),2019,1641
铁路客车产量(辆),2018,914
铁路客车产量(辆),2017,330
铁路客车产量(辆),2016,1303
铁路客车产量(辆),2015,2572
铁路客车产量(辆),2014,3438
铁路客车产量(辆),2013,3631
铁路客车产量(辆),2012,7562
铁路客车产量(辆),2011,6853
铁路客车产量(辆),2010,7450
铁路客车产量(辆),2009,7107
铁路客车产量(辆),2008,1835
铁路客车产量(辆),2007,2425
铁路客车产量(辆),2006,2143
铁路客车产量(辆),2005,2001
铁路客车产量(辆),2004,1867
铁路客车产量(辆),2003,1525
铁路客车产量(辆),2002,2856
铁路客车产量(辆),2001,3273
铁路客车产量(辆),2000,3244
铁路客车产量(辆),1999,1778
铁路客车产量(辆),1998,1576
钢筋产量(万吨),2022,
钢筋产量(万吨),2021,25206.25
钢筋产量(万吨),2020,26754.23
钢筋产量(万吨),2019,24916.21
钢筋产量(万吨),2018,22226.66
钢筋产量(万吨),2017,19898.78
钢筋产量(万吨),2016,19051.35
钢筋产量(万吨),2015,18815.57
钢筋产量(万吨),2014,21553.51
钢筋产量(万吨),2013,20774.38
钢筋产量(万吨),2012,17810.18
钢筋产量(万吨),2011,15573.99
钢筋产量(万吨),2010,13876.93
钢筋产量(万吨),2009,12172.54
钢筋产量(万吨),2008,9605.01
钢筋产量(万吨),2007,10275.48
钢筋产量(万吨),2006,8416.8
钢筋产量(万吨),2005,6912.72
钢筋产量(万吨),2004,6654.61
钢筋产量(万吨),2003,
钢筋产量(万吨),2002,
钢筋产量(万吨),2001,
钢筋产量(万吨),2000,
钢筋产量(万吨),1999,
钢筋产量(万吨),1998,
钢材产量(万吨),2022,134033.5
钢材产量(万吨),2021,133666.83
钢材产量(万吨),2020,132489.18
钢材产量(万吨),2019,120456.94
钢材产量(万吨),2018,113287.33
钢材产量(万吨),2017,104642.05
钢材产量(万吨),2016,104813.45
钢材产量(万吨),2015,103468.41
钢材产量(万吨),2014,112513.12
钢材产量(万吨),2013,108200.54
钢材产量(万吨),2012,95577.83
钢材产量(万吨),2011,88619.57
钢材产量(万吨),2010,80276.58
钢材产量(万吨),2009,69405.4
钢材产量(万吨),2008,60460.29
钢材产量(万吨),2007,56560.87
钢材产量(万吨),2006,46893.36
钢材产量(万吨),2005,37771.14
钢材产量(万吨),2004,31975.72
钢材产量(万吨),2003,24108.01
钢材产量(万吨),2002,19251.59
钢材产量(万吨),2001,16067.61
钢材产量(万吨),2000,13146
钢材产量(万吨),1999,12109.78
钢材产量(万吨),1998,10737.8
金属切削机床产量(万台),2022,
金属切削机床产量(万台),2021,60.17
金属切削机床产量(万台),2020,43.89
金属切削机床产量(万台),2019,42.1
金属切削机床产量(万台),2018,54.07
金属切削机床产量(万台),2017,60.85
金属切削机床产量(万台),2016,67.28
金属切削机床产量(万台),2015,75.5
金属切削机床产量(万台),2014,85.8
金属切削机床产量(万台),2013,87.55
金属切削机床产量(万台),2012,88.23
金属切削机床产量(万台),2011,88.68
金属切削机床产量(万台),2010,69.73
金属切削机床产量(万台),2009,58.55
金属切削机床产量(万台),2008,71.73
金属切削机床产量(万台),2007,64.69
金属切削机床产量(万台),2006,57.3
金属切削机床产量(万台),2005,51.14
金属切削机床产量(万台),2004,48.72
金属切削机床产量(万台),2003,30.58
金属切削机床产量(万台),2002,30.86
金属切削机床产量(万台),2001,25.58
